id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
xt8thQjs0Eo;UC9wK7Av9acHl7CXPwVbivvw;??????? ?? 21.05.15 Dark Souls II (????? ?????????? ???????);Mpv Films
af3xsAyiWY0;UClNSdNAqetoA97IG9zvscow;Dark Souls LORE: Tarkus, Hierro Negro - Historia y Curiosidades;La Caverna del Gamer
DBHLQS1vG0A;UCA7-KUzOQF-qk46knmCnCmg;EL BOSS MAS DIFICIL DEL DARK SOULS 2 (con nivel 1)!! - RETO 100% IMPOSIBLE!;Powerbazinga TV
oHNxxCVyNKg;UCHxOq6JWwS5NxzjOeAN6-IQ;Dark Souls #01 - Entendendo Toda a História (Lore);NOPi GAMER
mzkfYy8oTBY;UCDyiq3Junzpeor4PdOCOzOA;Dark Souls All Bosses Speedrun WR 1:15:43 (Former World Record);Santzo84
k4h3YuCIG4I;UCcq5abYLnZQrRSUa48HlIpQ;Dark Souls 2 - El Perseguidor - Como matar a este boss en 2 minutos - SotFS - capitulo #5;MRDOMI
F97HwhcW-A4;UC9ovxiMauryd_vMZj2gHeTg;Dark Souls Thanks Obama;Cyber_Ninja
oEaAj3hnhjA;UChvHBTkphiMlz52vJYtz-ww;Dark Souls. ????? 1: ????? ????;?????? ??
Y0MVGcfF-Rg;UCQYkkC3Eb_0p08VqWQECfnQ;La explicación de los 3 finales de Dark Souls 2;Acre
u6qvUPf-O0w;UCEqenmVLMGDN5yvbEQeaC7w;Dark Souls - All bosses Speedrun in 1:17:25 In-game time;Elajjaz
eNKXiyVyRwc;UCtnmHPgmcQOxJKj1ZG4rmLw;7 DÍAS EN DARK SOULS II;Muzska89
33NoKZ0k_HM;UCeSj3Tsg0W02FhyJv44uf6w;Dark Souls x Warframe SFM - Excalicopter's Gambit;StallordD
w8n_rYCh818;UCeTm7pU7uuoiDgIP6xpUVxQ;Ist halt kein Dark Souls | Nils, Simon und Dennis | Best of E3;Jacky tori
mt8hnM0CNTE;UCT9IeyYbxExIkTudYi--x_A;Dark Souls - All Grab Attacks;zoikoikum
HsuS-GcjQDA;UCu9DFMTm98z_sXyoDLSbc2w;Dark Souls Centrado y Calmado LIVE;Zorman World
RAC_zr5AWmI;UCu9DFMTm98z_sXyoDLSbc2w;Mi paciencia va a explotar | Dark Souls Ep 4;Zorman World
CU5FchCf96o;UCu9DFMTm98z_sXyoDLSbc2w;Demasiado fácil para estas manos | Dark Souls Ep 1;Zorman World
dS2VecypkNI;UCboMX_UNgaPBsUOIgasn3-Q;Dark Souls 3 LEAKED? - Dude Soup Podcast #19;Funhaus
