id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
MOgCalp15zg;UCbIa2wKzCfoTCF0qaNFEq-Q;RESIDENT EVIL 7: A BIZARRA INSPIRAÇÃO;TheMFW
6OV7BNGMxD0;UCbIa2wKzCfoTCF0qaNFEq-Q;RESIDENT EVIL 7: COMO TUDO COMEÇOU;TheMFW
W5d04psLvAk;UCoXTZ3PJ5NeU2bxEEgW4PgA;Resident Evil 7 - Biohazard SteelBook® edition;SteelBook
4AwgxA_TjYo;UCdKuE7a2QZeHPhDntXVZ91w;????? ?????????? ? ????? ? Resident Evil 7 #1;Kuplinov ? Play
PgTJMVr0Tvk;UCr_fwF-n-2_olTYd-m3n32g;??????? ? Resident Evil 7 ? VR - ???? ????? ??????????? ?????????? (PlayStation VR);????? ????????
6Ed9GrzYPqU;UCYzp8-P162Em-3uZnCuGJOg;Resident Evil 7 DEMO - A Casa Tá com Bicho!;Games EduUu
aq9mtRitnS8;UC2lJPgRa6PeDNLUqlCCmDAQ;Resident Evil 7 - NEW Gameplay Walkthrough (TGS 2016);MathChief - Gameplay & Trailers!
u3zIzY6M3fQ;UC1TglkZCzM614801bBN5wFg;Resident Evil 7 Biohazard - Story Trailer [PS4];PlayStation DACH
WV5J1TeDN7A;UCbI-X9F07inmxYvQKDBOU7Q;Resident Evil 7 PS4 Trailer: Dinner with the Bakers | PlayStation 4 | TGS 2016;Push Square
6DqdA3c0EnI;UCa5qeML93Hg37Ckn22pxdHA;Resident Evil 7 Gameplay Trailer 4K 60FPS - PS4 Pro;lzuniy
xyXsy4uvC-k;UCY-aY6fAqJauPWfxZ7HTZig;???????? ????? ????????! (Resident Evil 7 DEMO);2J Games
SSi2pV-YEek;UCJ8GQ_SNb-33m_BluT4TTlw;Resident Evil 7 - SERIA ESSE O LEON KENNEDY? ( Analisando Cenas Inéditas da E3 Pt. II );MaxMRM GAMEPLAY
O6sRex3RUVM;UCq6VFHwMzcMXbuKyG7SQYIg;Resident Evil 7;penguinz0
Q3oLHRimVUg;UCiwIAU4SNlrcv47504JrJeQ;"Cleveland Plays: Resident Evil 7! #1 ""Screw Andre!""";Azerrz
-yylPWIzrz4;UCFbeC0uRdk0dfKQkybLAeVg;???????!! ???????????????!!? RESIDENT EVIL 7 Teaser: Beginning Hour?;SoftpomzGaming
T48J3vDOWPg;UCrpWCVp9FuGA8OnGtA0rgsw;HÁT EZ MÁR NAGYON HIÁNYZOTT!!! | Resident Evil 7 Beginning Hour Demo;TheVR
CxLIuIbgXu4;UChbwE8OaITH1rhi2I0ny3Cg;SEGREDOS E MISTÉRIOS de Resident Evil 7;Velberan
E3qhvsanKJo;UCkxctb0jr8vwa4Do6c6su0Q;Let's Play - Resident Evil 7 Biohazard Starring Funhaus;LetsPlay
CWu_KlvNU_A;UCYJ61XIK64sp6ZFFS8sctxw;RESIDENT EVIL 7 DEMO #01 - Home Sweet Home | Gronkh;Gronkh
VU4ssMogwbc;UCDZsyOkn-WTiTwgAvZSQ_cg;RESIDENT EVIL 7 EN PRIMERA PERSONA?! LO PRUEBO EN DIRECTO Y... ya lo veréis ??;El Rincón De Giorgio
Jr10IuqpBnA;UCj9BKLnJa3xPThr2ATxvk0g;Dummy Finger & Axe Purpose Hunting RE7 Resident Evil 7 Live Gameplay;AceBoogz Gaming
QcibcOwatBI;UCC7mCdLtA_-FePhSdTERUAA;"Resident Evil 7: Biohazard [Here's Your ""GOOD ENDING""]";Ghost Murmur
fIyrKYOuWXQ;UCP8A8blIPLuL2kSSrhKJIhg;BONJOUR YA DES FANTÔMES ? - Resident Evil 7 Demo;Le Bled'Art
dmk8fIZF8lk;UC-2Y8dQb0S6DtpxNgAKoJKA;Resident Evil 7 Biohazard - E3 2016 LiveCast | PS4;PlayStation
aiv2hts7FhI;UCybifzoXI1ztF9N-_FK2Vtw;Resident Evil 7: Beginning Hour Walkthrough Part 1;Gamers Unleashed X
sknHvhRjNqs;UChDzydLvGpQD-bZWDZBiu9w;Resident Evil 7 – 4 ???????? ????-??????;StopGame Live
T0ky23papQk;UCSjXXHwfaDq1w9oQ0xgOFNg;RESIDENT EVIL 7 DEMO - Beginning Hour Gameplay;John Wolfe
a-vgRyQ59aA;UCP4rXlinqhP-kyRdYDWc2rw;Resident Evil 7 FULL DEMO PLAYTHROUGH ENDING 1: NO COMMENTARY NONSENSE (60 FPS);Jimmyqballs
6hlJ-u-V1OU;UCgo8qP50yVGHCaF03qo4ovw;Resident Evil 7 (PS4) - Trailer #1 - E3 2016 - PlayStation VR - LEGENDADO PT-BR;PSX Brasil
